Date,Open,High,Low,Close,Adj Close,Volume
2018-12-07,1.140000,1.270000,1.140000,1.159950,1.159950,339577
2018-12-10,1.202100,1.202100,1.099400,1.151600,1.151600,144295
2018-12-11,1.154900,1.169900,1.042400,1.079700,1.079700,145333
2018-12-12,1.080000,1.101310,1.027400,1.039100,1.039100,150079
2018-12-13,1.064900,1.064900,0.885200,0.931200,0.931200,221311
2018-12-14,0.960500,0.981500,0.901100,0.931300,0.931300,122998
2018-12-17,0.950000,0.950000,0.890000,0.927600,0.927600,135610
2018-12-18,0.943000,0.953400,0.916350,0.930000,0.930000,100521
2018-12-19,0.925250,1.112000,0.925250,1.065200,1.065200,121694
2018-12-20,1.110000,1.147300,1.050000,1.050000,1.050000,106306
2018-12-21,1.050000,1.050000,0.916400,0.930000,0.930000,206193
2018-12-24,0.942150,0.944400,0.866000,0.901100,0.901100,76396
2018-12-26,0.914100,0.974000,0.898100,0.971000,0.971000,97521
2018-12-27,0.902000,0.945000,0.900000,0.927000,0.927000,63959
2018-12-28,0.934550,0.957000,0.920000,0.930000,0.930000,66427
2018-12-31,0.957200,1.100000,0.949000,1.090000,1.090000,133028
2019-01-02,1.110000,1.300000,1.097380,1.180300,1.180300,259470
2019-01-03,1.221100,1.230000,1.100000,1.115900,1.115900,89814
2019-01-04,1.100000,1.200000,1.100000,1.128400,1.128400,138207
2019-01-07,1.163000,1.188700,1.130000,1.160000,1.160000,108581
2019-01-08,1.190000,1.200000,1.090000,1.114680,1.114680,107663
2019-01-09,1.190000,1.200000,1.130000,1.190000,1.190000,137619
2019-01-10,1.170000,1.300000,1.170000,1.189400,1.189400,109053
2019-01-11,1.213000,1.289900,1.179600,1.246000,1.246000,217270
2019-01-14,1.270000,1.360000,1.234100,1.359000,1.359000,182059
2019-01-15,1.400000,1.560000,1.365490,1.449800,1.449800,324442
2019-01-16,1.466300,1.490000,1.350000,1.380000,1.380000,196969
2019-01-17,1.430000,1.550000,1.400100,1.540000,1.540000,209099
2019-01-18,1.570000,1.700000,1.500000,1.560000,1.560000,450232
2019-01-22,1.570000,1.600000,1.500000,1.530000,1.530000,123222
2019-01-23,1.540000,1.561000,1.500000,1.510000,1.510000,137760
2019-01-24,1.540000,1.540000,1.470000,1.500000,1.500000,202017
2019-01-25,1.520000,1.550000,1.479900,1.490000,1.490000,176960
2019-01-28,1.470000,1.520000,1.460000,1.475360,1.475360,217714
2019-01-29,1.520000,1.600000,1.457400,1.600000,1.600000,242211
2019-01-30,1.620000,1.690000,1.594000,1.603600,1.603600,155435
2019-01-31,1.660000,1.670000,1.620000,1.640000,1.640000,252419
2019-02-01,1.660000,1.670000,1.600000,1.631430,1.631430,268502
2019-02-04,1.720000,1.720000,1.613610,1.613610,1.613610,228157
2019-02-05,1.660000,1.660000,1.424500,1.455400,1.455400,421657
2019-02-06,1.440000,1.450000,1.300000,1.364800,1.364800,319354
2019-02-07,1.377000,1.418400,1.317200,1.340000,1.340000,220093
2019-02-08,1.330000,1.374800,1.310000,1.322600,1.322600,129550
2019-02-11,1.335000,1.390000,1.318000,1.385800,1.385800,141073
2019-02-12,1.396800,1.462300,1.390000,1.450000,1.450000,92452
2019-02-13,1.490000,1.540000,1.434130,1.450000,1.450000,140732
2019-02-14,1.455000,1.455000,1.380490,1.411600,1.411600,114776
2019-02-15,1.430000,1.459900,1.388600,1.420000,1.420000,78208
2019-02-19,1.529000,1.529000,1.307900,1.410000,1.410000,184449
2019-02-20,1.420000,1.460000,1.384650,1.407200,1.407200,93804
2019-02-21,1.405000,1.450000,1.360500,1.430900,1.430900,68190
2019-02-22,1.460000,1.504500,1.400000,1.430000,1.430000,145227
2019-02-25,1.450000,1.450000,1.380000,1.390000,1.390000,216058
2019-02-26,1.435000,1.435000,1.330000,1.377200,1.377200,137503
2019-02-27,1.390000,1.390000,1.300000,1.300000,1.300000,138390
2019-02-28,1.300000,1.440000,1.300000,1.430000,1.430000,151446
2019-03-01,1.460000,1.546300,1.426400,1.529600,1.529600,409320
2019-03-04,1.559000,1.590000,1.443900,1.500000,1.500000,202089
2019-03-05,1.520000,1.520000,1.400000,1.410000,1.410000,219134
2019-03-06,1.380000,1.440000,1.373600,1.398100,1.398100,96212
2019-03-07,1.380000,1.410000,1.320000,1.320000,1.320000,152938
2019-03-08,1.323770,1.350000,1.320000,1.340000,1.340000,111518
2019-03-11,1.370000,1.380000,1.321450,1.323200,1.323200,191329
2019-03-12,1.330100,1.360000,1.319400,1.339250,1.339250,51281
2019-03-13,1.339600,1.357500,1.320000,1.350000,1.350000,115307
2019-03-14,1.360000,1.380000,1.340000,1.346600,1.346600,85990
2019-03-15,1.365000,1.365000,1.329300,1.337500,1.337500,143263
2019-03-18,1.350000,1.370000,1.330000,1.356900,1.356900,161758
